lat,lon,wind_value,year,month
60,88.25,18.2,2021,апрель
60,88.5,19.2,2021,апрель
60,88.75,21.6,2021,апрель
60,89,20.2,2021,апрель
60,89.25,18.6,2021,апрель
60,89.5,17.2,2021,апрель
60,89.75,16.2,2021,апрель
60,90,15.2,2021,апрель
60,90.25,14.2,2021,апрель
60,90.5,14.4,2021,апрель
60,90.75,14.4,2021,апрель
60,91,14,2021,апрель
60,91.25,13.4,2021,апрель
60,91.5,13.2,2021,апрель
60,91.75,13.4,2021,апрель
60,92,13.2,2021,апрель
60,92.25,13.2,2021,апрель
60,92.5,13.4,2021,апрель
60,92.75,12.8,2021,апрель
60,93,12.4,2021,апрель
60,93.25,13,2021,апрель
60,93.5,15,2021,апрель
60,93.75,14.2,2021,апрель
60,94,10.6,2021,апрель
60,94.25,9.2,2021,апрель
60,94.5,8.4,2021,апрель
60,94.75,9.8,2021,апрель
60,95,9.2,2021,апрель
60,95.25,11,2021,апрель
60,95.5,10.4,2021,апрель
60,95.75,10.4,2021,апрель
60,96,9.8,2021,апрель
60,96.25,8.2,2021,апрель
60,96.5,8,2021,апрель
60,96.75,9.4,2021,апрель
60,97,10.8,2021,апрель
60,97.25,13,2021,апрель
60,97.5,13.8,2021,апрель
60,97.75,14.8,2021,апрель
60,98,14.6,2021,апрель
60,98.25,13,2021,апрель
60,98.5,11,2021,апрель
60,98.75,8,2021,апрель
60,99,6.6,2021,апрель
60,99.25,7,2021,апрель
60,99.5,7.2,2021,апрель
60,99.75,7.8,2021,апрель
60,100,7.6,2021,апрель
60,100.25,7.4,2021,апрель
60,100.5,7.2,2021,апрель
60,100.75,7,2021,апрель
60,101,7.2,2021,апрель
60,101.25,7.6,2021,апрель
60,101.5,7.8,2021,апрель
60,101.75,7.8,2021,апрель
60,102,7.4,2021,апрель
60,102.25,7.8,2021,апрель
60,102.5,7.6,2021,апрель
60,102.75,9.8,2021,апрель
60,103,10.6,2021,апрель
60,103.25,11.6,2021,апрель
60,103.5,15,2021,апрель
60,103.75,18.8,2021,апрель
60,104,17,2021,апрель
60,104.25,16,2021,апрель
60,104.5,13.4,2021,апрель
60,104.75,11.2,2021,апрель
60,105,11.2,2021,апрель
60,105.25,10.8,2021,апрель
60,105.5,12,2021,апрель
60,105.75,17.8,2021,апрель
60,106,19.6,2021,апрель
60,106.25,22.2,2021,апрель
60,106.5,24.2,2021,апрель
60,106.75,24.4,2021,апрель
60,107,27.4,2021,апрель
60,107.25,29.6,2021,апрель
60,107.5,31.2,2021,апрель
60,107.75,21.6,2021,апрель
60,108,13,2021,апрель
60,108.25,13,2021,апрель
60,108.5,11.8,2021,апрель
60,108.75,11.2,2021,апрель
60,109,10.4,2021,апрель
60,109.25,10,2021,апрель
60,109.5,9.8,2021,апрель
60,109.75,11.4,2021,апрель
60,110,13.8,2021,апрель
60,110.25,14.4,2021,апрель
60,110.5,13.8,2021,апрель
60,110.75,15.4,2021,апрель
60,111,13.4,2021,апрель
60,111.25,11.2,2021,апрель
60,111.5,11.8,2021,апрель
60,111.75,13.6,2021,апрель
60,112,15,2021,апрель
60,112.25,18.2,2021,апрель
60,112.5,20.2,2021,апрель
60,112.75,20,2021,апрель
60,113,24.2,2021,апрель
60,113.25,27,2021,апрель
60,113.5,23.2,2021,апрель
60,113.75,16.2,2021,апрель
60,114,12.8,2021,апрель
60,114.25,11.8,2021,апрель
60,114.5,11.8,2021,апрель
60,114.75,13.8,2021,апрель
60,115,16,2021,апрель
60,115.25,17.2,2021,апрель
60,115.5,17.4,2021,апрель
60,115.75,16.8,2021,апрель
60,116,16.4,2021,апрель
60,116.25,17,2021,апрель
60,116.5,18,2021,апрель
60,116.75,20.8,2021,апрель
60,117,24,2021,апрель
60,117.25,23.6,2021,апрель
60,117.5,22.4,2021,апрель
60,117.75,20.4,2021,апрель
60,118,20.8,2021,апрель
60,118.25,20.2,2021,апрель
60,118.5,21,2021,апрель
60,118.75,20.6,2021,апрель
60,119,19.8,2021,апрель
60,119.25,19.6,2021,апрель
60,119.5,20.2,2021,апрель
60,119.75,20.6,2021,апрель
60,120,19.8,2021,апрель
60,120.25,20.4,2021,апрель
60,120.5,20.8,2021,апрель
60,120.75,20.6,2021,апрель
60,121,21,2021,апрель
60,121.25,22,2021,апрель
60,121.5,22,2021,апрель
60,121.75,21.4,2021,апрель
60,122,21.6,2021,апрель
60,122.25,22.8,2021,апрель
60,122.5,23.4,2021,апрель
60,122.75,22.2,2021,апрель
60,123,21.8,2021,апрель
60,123.25,20,2021,апрель
60,123.5,18.4,2021,апрель
60,123.75,20.8,2021,апрель
60,124,23.8,2021,апрель
60,124.25,20.8,2021,апрель
60,124.5,19,2021,апрель
60,124.75,15.6,2021,апрель
60,125,14.4,2021,апрель
60,125.25,14,2021,апрель
60,125.5,13.2,2021,апрель
60,125.75,13.2,2021,апрель
59.75,45,5,2021,апрель
59.75,45.25,235.6,2021,апрель
59.75,45.5,273.6,2021,апрель
59.75,45.75,292.2,2021,апрель
59.75,46,290.2,2021,апрель
59.75,46.25,272.8,2021,апрель
59.75,46.5,215.2,2021,апрель
59.75,46.75,167,2021,апрель
59.75,47,163.8,2021,апрель
59.75,47.25,161,2021,апрель
59.75,47.5,156.2,2021,апрель
59.75,47.75,156.6,2021,апрель
59.75,48,174.2,2021,апрель
59.75,48.25,196.8,2021,апрель
59.75,48.5,162.4,2021,апрель
59.75,48.75,125.2,2021,апрель
59.75,49,101.8,2021,апрель
59.75,49.25,81.4,2021,апрель
59.75,49.5,47,2021,апрель
59.75,49.75,15.2,2021,апрель
59.75,50,5.8,2021,апрель
59.75,50.25,4.4,2021,апрель
59.75,50.5,6.4,2021,апрель
59.75,50.75,19.6,2021,апрель
59.75,51,32.4,2021,апрель
59.75,51.25,19.2,2021,апрель
59.75,51.5,8.6,2021,апрель
59.75,51.75,5.6,2021,апрель
59.75,52,3.4,2021,апрель
59.75,52.25,3,2021,апрель
59.75,52.5,2.8,2021,апрель
59.75,52.75,3.2,2021,апрель
59.75,53,2.8,2021,апрель
59.75,53.25,2.8,2021,апрель
59.75,53.5,3,2021,апрель
59.75,53.75,2.6,2021,апрель
59.75,54,1.8,2021,апрель
59.75,54.25,2,2021,апрель
59.75,54.5,2.8,2021,апрель
59.75,54.75,3.4,2021,апрель
59.75,55,3.8,2021,апрель
59.75,55.25,4.2,2021,апрель
59.75,55.5,4,2021,апрель
59.75,55.75,3.8,2021,апрель
59.75,56,3.6,2021,апрель
59.75,56.25,5.4,2021,апрель
59.75,56.5,7,2021,апрель
59.75,56.75,10.4,2021,апрель
59.75,57,10.8,2021,апрель
59.75,57.25,11.8,2021,апрель
59.75,57.5,11.8,2021,апрель
59.75,57.75,10.4,2021,апрель
59.75,58,10.6,2021,апрель
59.75,58.25,12,2021,апрель
59.75,58.5,12.6,2021,апрель
59.75,58.75,13.4,2021,апрель
59.75,59,13.6,2021,апрель
59.75,59.25,13.2,2021,апрель
59.75,59.5,13.2,2021,апрель
59.75,59.75,12.8,2021,апрель
59.75,60,12.6,2021,апрель
59.75,60.25,14.4,2021,апрель
59.75,60.5,14.6,2021,апрель
59.75,60.75,13,2021,апрель
59.75,61,11.2,2021,апрель
59.75,61.25,9.2,2021,апрель
59.75,61.5,8,2021,апрель
59.75,61.75,7.8,2021,апрель
59.75,62,9.2,2021,апрель
59.75,62.25,10.4,2021,апрель
59.75,62.5,9,2021,апрель
59.75,62.75,7.8,2021,апрель
59.75,63,8.2,2021,апрель
59.75,63.25,9.4,2021,апрель
59.75,63.5,8.8,2021,апрель
59.75,63.75,7.8,2021,апрель
59.75,64,7.2,2021,апрель
59.75,64.25,6.8,2021,апрель
59.75,64.5,6.8,2021,апрель
59.75,64.75,7.2,2021,апрель
59.75,65,6.8,2021,апрель
59.75,65.25,6,2021,апрель
59.75,65.5,5.8,2021,апрель
59.75,65.75,6.2,2021,апрель
59.75,66,7.4,2021,апрель
59.75,66.25,7.4,2021,апрель
59.75,66.5,7.2,2021,апрель
59.75,66.75,8,2021,апрель
59.75,67,8.8,2021,апрель
59.75,67.25,10,2021,апрель
59.75,67.5,10.6,2021,апрель
59.75,67.75,11,2021,апрель
59.75,68,11,2021,апрель
59.75,68.25,11.4,2021,апрель
59.75,68.5,11.6,2021,апрель
59.75,68.75,11.2,2021,апрель
59.75,69,11.8,2021,апрель
59.75,69.25,12.8,2021,апрель
59.75,69.5,13.6,2021,апрель
59.75,69.75,13.8,2021,апрель
59.75,70,13,2021,апрель
59.75,70.25,13,2021,апрель
59.75,70.5,12.2,2021,апрель
59.75,70.75,11,2021,апрель
59.75,71,11.6,2021,апрель
59.75,71.25,11.6,2021,апрель
59.75,71.5,11.6,2021,апрель
59.75,71.75,12.4,2021,апрель
59.75,72,12.4,2021,апрель
59.75,72.25,12.4,2021,апрель
59.75,72.5,10.8,2021,апрель
59.75,72.75,10.8,2021,апрель
59.75,73,10.6,2021,апрель
59.75,73.25,10.8,2021,апрель
59.75,73.5,11,2021,апрель
59.75,73.75,10.4,2021,апрель
59.75,74,10.4,2021,апрель
59.75,74.25,11.2,2021,апрель
59.75,74.5,11.8,2021,апрель
59.75,74.75,12,2021,апрель
59.75,75,12.4,2021,апрель
59.75,75.25,12.8,2021,апрель
59.75,75.5,12.2,2021,апрель
59.75,75.75,11.2,2021,апрель
59.75,76,11.2,2021,апрель
59.75,76.25,10.2,2021,апрель
59.75,76.5,10,2021,апрель
59.75,76.75,9.4,2021,апрель
59.75,77,9.4,2021,апрель
59.75,77.25,9.2,2021,апрель
59.75,77.5,9.8,2021,апрель
59.75,77.75,11,2021,апрель
59.75,78,12,2021,апрель
59.75,78.25,14.6,2021,апрель
59.75,78.5,13.4,2021,апрель
59.75,78.75,13.2,2021,апрель
59.75,79,11.8,2021,апрель
59.75,79.25,12.6,2021,апрель
59.75,79.5,13.4,2021,апрель
59.75,79.75,15.2,2021,апрель
59.75,80,14,2021,апрель
59.75,80.25,13.4,2021,апрель
59.75,80.5,13.4,2021,апрель
59.75,80.75,12.6,2021,апрель
59.75,81,13.2,2021,апрель
59.75,81.25,14,2021,апрель
59.75,81.5,14.2,2021,апрель
59.75,81.75,15.6,2021,апрель
59.75,82,15,2021,апрель
